Spørsmål;Svar;Les mer her…;Link;Spørsmål_uten_stopwords;Svar_uten_stopwords
"
Hvordan skal ansatte registrere arbeidstid og fravær ?";Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;"
 Hvordan ansatte registrere arbeidstid fravær ?";Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen å unngå potensielle lønnstrekk årets slutt .
Hvor mange timer jobber ansatte vanligvis per dag i Husbanken?;"Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap. 10, hovedtariffavtalene
hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45";Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvor timer jobber ansatte vanligvis per Husbanken ?;"arbeidstidsbestemmelsene arbeidsmiljølovens kap . 10 , hovedtariffavtalene 
 hovedavtalenNormalarbeidstiden Husbanken varierer sommer vinter . 15. mai 14. september arbeidstiden kl. 08.00-15.00 , 15. september 14. mai arbeidstiden kl. 08.00-15.45"
Kan du gi informasjon om den gjennomsnittlige arbeidstiden i Husbanken, og er det sesongmessige variasjoner?;Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap. 10, hovedtariffavtalene hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;informasjon gjennomsnittlige arbeidstiden Husbanken , sesongmessige variasjoner ?;arbeidstidsbestemmelsene arbeidsmiljølovens kap . 10 , hovedtariffavtalene hovedavtalenNormalarbeidstiden Husbanken varierer sommer vinter . 15. mai 14. september arbeidstiden kl. 08.00-15.00 , 15. september 14. mai arbeidstiden kl. 08.00-15.45
Hvordan er den ordinære arbeidstiden i Husbanken , og er det endringer i arbeidstidene sine i løpet av året?;"Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap. 10, hovedtariffavtalene
hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45";Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvordan ordinære arbeidstiden Husbanken , endringer arbeidstidene året ?;"arbeidstidsbestemmelsene arbeidsmiljølovens kap . 10 , hovedtariffavtalene 
 hovedavtalenNormalarbeidstiden Husbanken varierer sommer vinter . 15. mai 14. september arbeidstiden kl. 08.00-15.00 , 15. september 14. mai arbeidstiden kl. 08.00-15.45"
Hvordan er fridagene organisert for ansatte i Husbanken?;Ansatte i Husbanken har fri på følgende høytidsdager: Nyttårsdag (1. januar), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvordan fridagene organisert ansatte Husbanken ?;Ansatte Husbanken fri følgende høytidsdager : Nyttårsdag ( 1. januar ) , skjærtorsdag , langfredag , påskeaften , 1. 2. påskedag , 1. mai , 17. mai , kristi himmelfartsdag , 1. 2. pinsedag , 1. 2. juledag ( 25. 26. desember ) . fri jul- nyttårsaften én valgfri arbeidsdag romjulen
Hvordan er fridagene organisert for ansatte i Husbanken?;Ansatte i Husbanken har fri på følgende høytidsdager: Nyttårsdag (1. januar), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvordan fridagene organisert ansatte Husbanken ?;Ansatte Husbanken fri følgende høytidsdager : Nyttårsdag ( 1. januar ) , skjærtorsdag , langfredag , påskeaften , 1. 2. påskedag , 1. mai , 17. mai , kristi himmelfartsdag , 1. 2. pinsedag , 1. 2. juledag ( 25. 26. desember ) . fri jul- nyttårsaften én valgfri arbeidsdag romjulen
Hvordan er fridagene organisert for ansatte i Husbanken?;Ansatte i Husbanken har fri på følgende høytidsdager: Nyttårsdag (1. januar), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvordan fridagene organisert ansatte Husbanken ?;Ansatte Husbanken fri følgende høytidsdager : Nyttårsdag ( 1. januar ) , skjærtorsdag , langfredag , påskeaften , 1. 2. påskedag , 1. mai , 17. mai , kristi himmelfartsdag , 1. 2. pinsedag , 1. 2. juledag ( 25. 26. desember ) . fri jul- nyttårsaften én valgfri arbeidsdag romjulen
Hva betraktes som reisetid i sammenheng med arbeid, og hva anses ikke som reisetid?;Reisetid i forbindelse med arbeid inkluderer tiden brukt på å reise mellom arbeidssted/bosted og forretningssted, inkludert nødvendig ventetid underveis. Tiden tilbrakt på hotell o.l. regnes ikke som reisetid.Les mer om reisetid i Statens personalhåndbok kapittel 7.3.8;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hva betraktes reisetid sammenheng arbeid , hva anses ikke reisetid ?;Reisetid forbindelse arbeid inkluderer tiden brukt å reise arbeidssted / bosted forretningssted , inkludert nødvendig ventetid underveis . Tiden tilbrakt hotell o.l. regnes ikke reisetid . Les reisetid Statens personalhåndbok kapittel 7.3.8
Kan du klargjøre hva som klassifiseres som reisetid i arbeidssammenheng, og hva som ikke anses som slik tid?;Reisetid i forbindelse med arbeid inkluderer tiden brukt på å reise mellom arbeidssted/bosted og forretningssted, inkludert nødvendig ventetid underveis. Tiden tilbrakt på hotell o.l. regnes ikke som reisetid.Les mer om reisetid i Statens personalhåndbok kapittel 7.3.8;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;klargjøre hva klassifiseres reisetid arbeidssammenheng , hva ikke anses tid ?;Reisetid forbindelse arbeid inkluderer tiden brukt å reise arbeidssted / bosted forretningssted , inkludert nødvendig ventetid underveis . Tiden tilbrakt hotell o.l. regnes ikke reisetid . Les reisetid Statens personalhåndbok kapittel 7.3.8
Hvilke situasjoner regnes som reisetid i forbindelse med arbeid?;Reisetid i forbindelse med arbeid inkluderer tiden brukt på å reise mellom arbeidssted/bosted og forretningssted, inkludert nødvendig ventetid underveis. Tiden tilbrakt på hotell o.l. regnes ikke som reisetid.Les mer om reisetid i Statens personalhåndbok kapittel 7.3.8;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvilke situasjoner regnes reisetid forbindelse arbeid ?;Reisetid forbindelse arbeid inkluderer tiden brukt å reise arbeidssted / bosted forretningssted , inkludert nødvendig ventetid underveis . Tiden tilbrakt hotell o.l. regnes ikke reisetid . Les reisetid Statens personalhåndbok kapittel 7.3.8
Hvor mange fridager er arbeidstakere som ikke er tilknyttet Den norske kirke?;Arbeidstakere som ikke tilhører Den norske kirke, har på visse vilkår rett til 2 fridager hvertkalenderår for å feire sine religiøse høytidsdager, se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvor fridager arbeidstakere ikke tilknyttet norske kirke ?;Arbeidstakere ikke tilhører norske kirke , visse vilkår rett 2 fridager hvertkalenderår å feire religiøse høytidsdager , Staten personalhåndbok 10.8.2.2
Kan du opplyse om antall fridager som arbeidstakere er ikke kristen ?;Arbeidstakere som ikke tilhører Den norske kirke, har på visse vilkår rett til 2 fridager hvertkalenderår for å feire sine religiøse høytidsdager, se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;opplyse antall fridager arbeidstakere ikke kristen ?;Arbeidstakere ikke tilhører norske kirke , visse vilkår rett 2 fridager hvertkalenderår å feire religiøse høytidsdager , Staten personalhåndbok 10.8.2.2
Fridager knyttet til trosretninger;Arbeidstakere som ikke tilhører Den norske kirke, har på visse vilkår rett til 2 fridager hvertkalenderår for å feire sine religiøse høytidsdager, se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Fridager knyttet trosretninger;Arbeidstakere ikke tilhører norske kirke , visse vilkår rett 2 fridager hvertkalenderår å feire religiøse høytidsdager , Staten personalhåndbok 10.8.2.2
kjernetiden ;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;kjernetiden;Kjernetiden Husbanken kl. 09.00 14.30 hele året , ytre arbeidstiden kl. 0600 kl. 0900 kl. 1430 kl. 2100 mandag fredag hele året . avtale leder , ansatte arbeide fleksitid lørdager inntil 5 timer kl. 0700 kl. 1800.   Staten personalhåndbok 10.8.2.2
Hvordan er kjernetiden og den ytre arbeidstiden, og hva er prosedyren for fleksitidr?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvordan kjernetiden ytre arbeidstiden , hva prosedyren fleksitidr ?;Kjernetiden Husbanken kl. 09.00 14.30 hele året , ytre arbeidstiden kl. 0600 kl. 0900 kl. 1430 kl. 2100 mandag fredag hele året . avtale leder , ansatte arbeide fleksitid lørdager inntil 5 timer kl. 0700 kl. 1800.   Staten personalhåndbok 10.8.2.2
Hva er de fastsatte kjernearbeidstidene og de generelle arbeidstidene,forklare retningslinjene for fleksitid ?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hva fastsatte kjernearbeidstidene generelle arbeidstidene , forklare retningslinjene fleksitid ?;Kjernetiden Husbanken kl. 09.00 14.30 hele året , ytre arbeidstiden kl. 0600 kl. 0900 kl. 1430 kl. 2100 mandag fredag hele året . avtale leder , ansatte arbeide fleksitid lørdager inntil 5 timer kl. 0700 kl. 1800.   Staten personalhåndbok 10.8.2.2
Kan du gi en oversikt over kjernetiden reglene og mulighetene knyttet til fleksitid på lørdager?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;oversikt over kjernetiden reglene mulighetene knyttet fleksitid lørdager ?;Kjernetiden Husbanken kl. 09.00 14.30 hele året , ytre arbeidstiden kl. 0600 kl. 0900 kl. 1430 kl. 2100 mandag fredag hele året . avtale leder , ansatte arbeide fleksitid lørdager inntil 5 timer kl. 0700 kl. 1800.   Staten personalhåndbok 10.8.2.2
Hvor mange overtidstimer har ansatte anledning til å avspasere per år?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvor overtidstimer ansatte anledning å avspasere per ?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført , begrensninger hvor plusstimer minustimer overføres .
 Gi informasjon om grensen for avspasering av overtidstimer, og hva er reglene ubrukte timer til neste år?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;  informasjon grensen avspasering overtidstimer , hva reglene ubrukte timer ?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført , begrensninger hvor plusstimer minustimer overføres .
Hvordan er reglene fastsatt for avspasering av overtidstimer per år?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvordan reglene fastsatt avspasering overtidstimer per ?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført , begrensninger hvor plusstimer minustimer overføres .
Hvor mange pluss-timer har de ansatte lov til å ta ut i avspasering?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvor pluss-timer ansatte lov å avspasering ?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført , begrensninger hvor plusstimer minustimer overføres .
Kan du forklare maksimalt antall timer som kan avspaseres per år?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;forklare maksimalt antall timer avspaseres per ?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført , begrensninger hvor plusstimer minustimer overføres .
Hva er prosedyren for ansatte når det gjelder registrering av arbeidstid og fravær ?;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hva prosedyren ansatte gjelder registrering arbeidstid fravær ?;Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen å unngå potensielle lønnstrekk årets slutt .
Hvordan bør ansatte loggføre arbeidstid og fravær for å sikre at det ikke blir aktuelt med lønnstrekk ?;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hvordan bør ansatte loggføre arbeidstid fravær å sikre ikke aktuelt lønnstrekk ?;Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen å unngå potensielle lønnstrekk årets slutt .
korrekt registrering av arbeidstid og fravær for å unngå eventuelle lønnstrekk ?;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;korrekt registrering arbeidstid fravær å unngå eventuelle lønnstrekk ?;Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen å unngå potensielle lønnstrekk årets slutt .
unngå mulige lønnstrekk.;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;unngå mulige lønnstrekk .;Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen å unngå potensielle lønnstrekk årets slutt .
dokumentasjon av arbeidstid og fravær?;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;dokumentasjon arbeidstid fravær ?;Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen å unngå potensielle lønnstrekk årets slutt .
Fleksibel arbeidstid;Husbanken følger Særavtale om fleksibel arbeidstid i statens personalhåndbok.Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Fleksibel arbeidstid;Husbanken følger Særavtale fleksibel arbeidstid statens personalhåndbok . Kjernetiden Husbanken kl. 09.00 14.30 hele året , ytre arbeidstiden kl. 0600 kl. 0900 kl. 1430 kl. 2100 mandag fredag hele året . avtale leder , ansatte arbeide fleksitid lørdager inntil 5 timer kl. 0700 kl. 1800.   Staten personalhåndbok 10.8.2.2
Hva er normalarbeidstiden i Husbanken, og hvordan varierer den mellom sommer og vinter?;Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap.10,hovedtariffavtalene hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;Hva normalarbeidstiden Husbanken , hvordan varierer sommer vinter ?;arbeidstidsbestemmelsene arbeidsmiljølovens kap.10,hovedtariffavtalene hovedavtalenNormalarbeidstiden Husbanken varierer sommer vinter . 15. mai 14. september arbeidstiden kl. 08.00-15.00 , 15. september 14. mai arbeidstiden kl. 08.00-15.45
Hvilke dager har ansatte i Husbanken fri?;Ansatte i Husbanken har fri på følgende høytidsdager: Nyttårsdag (1. januar), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Hvilke dager ansatte Husbanken fri ?;Ansatte Husbanken fri følgende høytidsdager : Nyttårsdag ( 1. januar ) , skjærtorsdag , langfredag , påskeaften , 1. 2. påskedag , 1. mai , 17. mai , kristi himmelfartsdag , 1. 2. pinsedag , 1. 2. juledag ( 25. 26. desember ) . fri jul- nyttårsaften én valgfri arbeidsdag romjulen
hva er reglene for fleksitid på lørdager?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800. se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;hva reglene fleksitid lørdager ?;Kjernetiden Husbanken kl. 09.00 14.30 hele året , ytre arbeidstiden kl. 0600 kl. 0900 kl. 1430 kl. 2100 mandag fredag hele året . avtale leder , ansatte arbeide fleksitid lørdager inntil 5 timer kl. 0700 kl. 1800. Staten personalhåndbok 10.8.2.2
 reglene for fleksitid på lørdager?; Kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800. se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid;  reglene fleksitid lørdager ?;  ansatte arbeide fleksitid lørdager inntil 5 timer kl. 0700 kl. 1800. Staten personalhåndbok 10.8.2.2
Feriepenger;Feriepenger utbetales i juni.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Feriepenger;Feriepenger;Feriepenger utbetales juni .
Hvor mange feriedager?;Du har rett til å avvikle 25 dager (fem uker) ferie per kalenderår. Hvis du begynner ijobben etter 30. september, har du rett til fem dager ferie året etter. Ferien du har rett påkan være lønnet eller ulønnet, alt etter hvor stor opptjening du har fra året før.Du kan kreve tre uker sammenhengende ferie i perioden 1. juni - 30. september.Arbeidsgiver skal i god tid før ferien drøfte ferieavviklingen med den enkelte arbeidstaker.Hvis dere ikke blir enige, har arbeidsgiver siste ordet innenfor grensene som settes i ferieloven §§ 7-9. De to øvrige ferieukene kan du kreve å få avvikle som hele uker, menikke nødvendigvis sammenhengende.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Hvor feriedager ?;rett å avvikle 25 dager ( uker ) ferie per kalenderår . Hvis begynner ijobben 30. september , rett dager ferie året . Ferien rett påkan lønnet ulønnet , hvor opptjening året . kreve tre uker sammenhengende ferie perioden 1. juni - 30. september . Arbeidsgiver tid ferien drøfte ferieavviklingen enkelte arbeidstaker . Hvis dere ikke enige , arbeidsgiver ordet innenfor grensene settes ferieloven §§ 7-9. to øvrige ferieukene kreve å avvikle hele uker , menikke nødvendigvis sammenhengende .
Hvor mange uker med ferie har du rett til hvert år?;Du har rett til å avvikle 25 dager (fem uker) ferie per kalenderår. Hvis du begynner ijobben etter 30. september, har du rett til fem dager ferie året etter. Ferien du har rett påkan være lønnet eller ulønnet, alt etter hvor stor opptjening du har fra året før.Du kan kreve tre uker sammenhengende ferie i perioden 1. juni - 30. september.Arbeidsgiver skal i god tid før ferien drøfte ferieavviklingen med den enkelte arbeidstaker.Hvis dere ikke blir enige, har arbeidsgiver siste ordet innenfor grensene som settes i ferieloven §§ 7-9. De to øvrige ferieukene kan du kreve å få avvikle som hele uker, menikke nødvendigvis sammenhengende.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Hvor uker ferie rett hvert ?;rett å avvikle 25 dager ( uker ) ferie per kalenderår . Hvis begynner ijobben 30. september , rett dager ferie året . Ferien rett påkan lønnet ulønnet , hvor opptjening året . kreve tre uker sammenhengende ferie perioden 1. juni - 30. september . Arbeidsgiver tid ferien drøfte ferieavviklingen enkelte arbeidstaker . Hvis dere ikke enige , arbeidsgiver ordet innenfor grensene settes ferieloven §§ 7-9. to øvrige ferieukene kreve å avvikle hele uker , menikke nødvendigvis sammenhengende .
Hvordan kan du søke om ferie;Du må søke om ferie i DFØ-appen eller SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden.Husbanken har også en egen ferieliste som bør fylles ut i ferietiden.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Hvordan søke ferie;søke ferie DFØ-appen SAP selvbetjeningsportalen , Søknaden sendeselektronisk din leder godkjenning . leder behandlet søknaden , e-postmed orientering utfallet søknaden . Husbanken egen ferieliste bør fylles ferietiden .
Hva er måten å søke ferie på?;Du må søke om ferie i DFØ-appen eller SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden.Husbanken har også en egen ferieliste som bør fylles ut i ferietiden.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Hva måten å søke ferie ?;søke ferie DFØ-appen SAP selvbetjeningsportalen , Søknaden sendeselektronisk din leder godkjenning . leder behandlet søknaden , e-postmed orientering utfallet søknaden . Husbanken egen ferieliste bør fylles ferietiden .
