Spørsmål;Svar;linker
klargjøre hva klassifiseres reisetid arbeidssammenheng, og hva som ikke anses som slik tid?;Reisetid i forbindelse med arbeid inkluderer tiden brukt på å reise mellom arbeidssted/bosted og forretningssted, inkludert nødvendig ventetid underveis. Tiden tilbrakt på hotell o.l. regnes ikke som reisetid.Les mer om reisetid i Statens personalhåndbok kapittel 7.3.8;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_7#KAPITTEL_7
Hvilke situasjoner regnes reisetid forbindelse arbeid?;Reisetid forbindelse arbeid inkluderer tiden brukt reise arbeidssted / bosted forretningssted, inkludert nødvendig ventetid underveis. Tiden tilbrakt på hotell o.l. regnes ikke som reisetid.Les mer om reisetid i Statens personalhåndbok kapittel 7.3.8;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_7#KAPITTEL_7
Hvor fridager arbeidstakere tilknyttet norske kirke?;Arbeidstakere tilhører norske kirke, har på visse vilkår rett til 2 fridager hvertkalenderår for å feire sine religiøse høytidsdager, se Staten personalhåndbok 10.8.2.2;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_10#KAPITTEL_10
opplyse antall fridager arbeidstakere kristen ? ; Arbeidstakere tilhører norske kirke, har på visse vilkår rett til 2 fridager hvertkalenderår for å feire sine religiøse høytidsdager, se Staten personalhåndbok 10.8.2.2;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_10#KAPITTEL_10
Fridager knyttet trosretninger;Arbeidstakere tilhører norske kirke, har på visse vilkår rett til 2 fridager hvertkalenderår for å feire sine religiøse høytidsdager, se Staten personalhåndbok 10.8.2.2;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_10#KAPITTEL_10
kjernetiden ; Kjernetiden Husbanken kl. 09.00 14.30 året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_10#KAPITTEL_10
Hvordan kjernetiden ytre arbeidstiden, og hva er prosedyren for fleksitidr?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_10#KAPITTEL_10
Hva fastsatte kjernearbeidstidene generelle arbeidstidene,forklare retningslinjene for fleksitid ?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_10#KAPITTEL_10
oversikt kjernetiden reglene mulighetene knyttet fleksitid lørdager?;Kjernetiden Husbanken kl. 09.00 14.30 året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_10#KAPITTEL_10
Hvor overtidstimer ansatte anledning avspasere per år?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;
  informasjon grensen avspasering overtidstimer, og hva er reglene ubrukte timer til neste år?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;
Hvordan reglene fastsatt avspasering overtidstimer per år?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;
Hvor pluss-timer ansatte lov avspasering?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;
forklare maksimalt antall timer avspaseres per år?;Ansatte avspasere inntil 180 timer per kalenderår . Eventuelle pluss- minustimer automatisk overført, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;
Hva prosedyren ansatte gjelder registrering arbeidstid fravær ? ; Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen unngå potensielle lønnstrekk årets slutt.;https://dfo.no / kundesider / tid-og-fravaer
Hvordan bør ansatte loggføre arbeidstid fravær sikre aktuelt lønnstrekk ? ; Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen unngå potensielle lønnstrekk årets slutt.;https://dfo.no / kundesider / tid-og-fravaer
korrekt registrering arbeidstid fravær unngå eventuelle lønnstrekk ? ; Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen unngå potensielle lønnstrekk årets slutt.;https://dfo.no / kundesider / tid-og-fravaer
unngå mulige lønnstrekk.;Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen unngå potensielle lønnstrekk årets slutt.;https://dfo.no / kundesider / tid-og-fravaer
dokumentasjon arbeidstid fravær?;Ansatte registrere arbeidstid fravær DFØ-appen SAP selvbetjeningsportalen unngå potensielle lønnstrekk årets slutt.;https://dfo.no / kundesider / tid-og-fravaer
Fleksibel arbeidstid;Husbanken følger Særavtale fleksibel arbeidstid statens personalhåndbok . Kjernetiden Husbanken kl. 09.00 14.30 året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;https://lovdata.no/dokument/SPH/sph-2024/KAPITTEL_10#KAPITTEL_10
Hva normalarbeidstiden Husbanken, og hvordan varierer den mellom sommer og vinter?;Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap.10,hovedtariffavtalene hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45;https://lovdata.no/dokument/NL/lov/2005-06-17-62/KAPITTEL_10#KAPITTEL_10
Hvilke dager ansatte Husbanken fri?;Ansatte Husbanken fri følgende høytidsdager : Nyttårsdag ( 1. januar ), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;
hva reglene fleksitid lørdager?;Kjernetiden Husbanken kl. 09.00 14.30 året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800. se Staten personalhåndbok 10.8.2.2;
  reglene fleksitid lørdager ? ; ansatte arbeide fleksitid lørdager inntil 5 timer kl. 0700 kl. 1800. Staten personalhåndbok 10.8.2.2;https://lovdata.no / dokument / SPH / sph-2024/KAPITTEL_10#KAPITTEL_10
Feriepenger;Feriepenger utbetales juni . ;
Hvor feriedager?;Du rett avvikle 25 dager ( uker ) ferie per kalenderår . Hvis begynner ijobben 30. september, har du rett til fem dager ferie året etter. Ferien du har rett påkan være lønnet eller ulønnet, alt etter hvor stor opptjening du har fra året før.Du kan kreve tre uker sammenhengende ferie i perioden 1. juni - 30. september.Arbeidsgiver skal i god tid før ferien drøfte ferieavviklingen med den enkelte arbeidstaker.Hvis dere ikke blir enige, har arbeidsgiver siste ordet innenfor grensene som settes i ferieloven §§ 7-9. De to øvrige ferieukene kan du kreve å få avvikle som hele uker, menikke nødvendigvis sammenhengende.;https://lovdata.no/dokument/NL/lov/1988-04-29-21
Hvor uker ferie rett hvert år?;Du rett avvikle 25 dager ( uker ) ferie per kalenderår . Hvis begynner ijobben 30. september, har du rett til fem dager ferie året etter. Ferien du har rett påkan være lønnet eller ulønnet, alt etter hvor stor opptjening du har fra året før.Du kan kreve tre uker sammenhengende ferie i perioden 1. juni - 30. september.Arbeidsgiver skal i god tid før ferien drøfte ferieavviklingen med den enkelte arbeidstaker.Hvis dere ikke blir enige, har arbeidsgiver siste ordet innenfor grensene som settes i ferieloven §§ 7-9. De to øvrige ferieukene kan du kreve å få avvikle som hele uker, menikke nødvendigvis sammenhengende.;https://lovdata.no/dokument/NL/lov/1988-04-29-21
Hvordan søke ferie;Du søke ferie DFØ-appen SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden.Husbanken har også en egen ferieliste som bør fylles ut i ferietiden.;https://dfo.no/kundesider/tid-og-fravaer
Hva måten søke ferie på?;Du søke ferie DFØ-appen SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden.Husbanken har også en egen ferieliste som bør fylles ut i ferietiden.;https://dfo.no/kundesider/tid-og-fravaer
Hvilken portal bruke søke ferie?;Du søke ferie DFØ-appen SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden.Husbanken har også en egen ferieliste som bør fylles ut i ferietiden.;https://dfo.no/kundesider/tid-og-fravaer
overføre ubrukte feriedager år?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen . Merk deg muligheten utbetalt lønn uavviklet ferie falt bort endring avferieloven pr. 1.7.2014. Les uavviklet ferie sykdom . Dersom overføre ferie ferieår, må du søke om dette innen 5. januar;http://husnettet-d/HR-Portalen/For-ansatte/Sider/Sykdom.aspx
Hvordan søke overføre feriedager år?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen.;https://dfo.no / kundesider / lonnstjenester / selvbetjeningsportalen
forskuddsferie;Det gis forskuddsferie maksimalt 10 dager . Forskuddsferie opptjent innvilges . ;
forskuddsferie?;Det gis forskuddsferie maksimalt 10 dager . Forskuddsferie opptjent innvilges . ;
definisjonen forskuddsferie?;Det gis forskuddsferie maksimalt 10 dager . Forskuddsferie opptjent innvilges . ;
feriedager ansatte 60 ; fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;
ekstra feriedagene ansatte 60 ; fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;
fordeler ansatte 60 gjelder ferie?;Du fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;
Antall feriedager ansatte jobber deltid;Når tar ferie, avvikler du samme antall feriedager som du vanligvis jobber per uke. Deøvrige ukedagene er fridager uansett og trekkes ikke av kvoten for feriedager. Hvis du foreksempel normalt arbeider tre dager i uken, og tar en uke ferie, trekkes du for treferiedager. Arbeider du normalt tre timer om dagen fire dager i uken, og tar en uke ferie,trekkes du for fire feriedager.;
søke ferie?;Du søke ferie DFØ-appen SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden. Husbanken har også en egen ferieliste som bør fylles ut i ferietiden. ;https://dfo.no/kundesider/tid-og-fravaer
Antall feriedager jobber deltid;Når tar ferie, avvikler du samme antall feriedager som du vanligvis jobber per uke. Deøvrige ukedagene er fridager uansett og trekkes ikke av kvoten for feriedager. Hvis du foreksempel normalt arbeider tre dager i uken, og tar en uke ferie, trekkes du for treferiedager. Arbeider du normalt tre timer om dagen fire dager i uken, og tar en uke ferie,trekkes du for fire feriedager.;
overføre feriedager år?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen.;https://dfo.no / kundesider / lonnstjenester / selvbetjeningsportalen
feriedager ansatte 60 år.;Du fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;
"ansatt 62 stå lenger arbeid?;""Husbanken ansattes organisasjoner inngått avtale seniorpolitiske tiltak iHusbanken"
"perioden 1. januar 2023 30. april 2024.Arbeidsgiver legge rette arbeidstakere stå lenger arbeid . gisderfor anledning ekstra tjenestefri lønn avtalen . "" ;"
"Seniordager ( 62 år);""Husbanken ansattes organisasjoner inngått avtale seniorpolitiske tiltak iHusbanken"
perioden 1. januar 2023 30. april 2024.FormålArbeidsgiver legge rette arbeidstakere stå lenger arbeid . gisderforanledning ekstra tjenestefri lønn avtalen . Sentrale vedtatte kollektive tiltak Hovedtariffavtalen . gis tjenestefri lønn tilsvarende åtte dager pr. kalenderåret arbeidstakerefyller 62 . Lokale kollektive tiltak . dagene arbeidstaker tjenestefri Hovedtariffavtalen,"kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år.De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet."";"
Føringer uttak tjenestefri Hovedtariffavtalen avtalen;Uttak tjenestefri lønn tas dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn.Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året.Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;
feriedager ansatte 60 år.;Du fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;
62 jobbe?;Husbanken ansattes organisasjoner inngått avtale seniorpolitiske tiltak iHusbanken perioden 1. januar 2023 30. april 2024. Arbeidsgiver legge rette arbeidstakere stå lenger arbeid . gisderfor anledning ekstra tjenestefri lønn avtalen . ;
Ansatt fyller 62   tjenestefri ? ; Ansatt 62 ekstre tjenestefri lønn avtalen . Sentrale vedtatte kollektive tiltak Hovedtariffavtalen . gis tjenestefri lønn tilsvarende åtte dager pr. kalenderåret arbeidstakerefyller 62 . dagene arbeidstaker tjenestefri Hovedtariffavtalen,kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år. De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;
Ansatt 62 ekstre fridager.;Ansatt 62 ekstre tjenestefri lønn avtalen . Sentrale vedtatte kollektive tiltak Hovedtariffavtalen . gis tjenestefri lønn tilsvarende åtte dager pr. kalenderåret arbeidstakerefyller 62 . dagene arbeidstaker tjenestefri Hovedtariffavtalen,kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år.De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;
ansatt 62 ekstre fridager?;Ansatt 62 ekstre tjenestefri lønn avtalen . Sentrale vedtatte kollektive tiltak Hovedtariffavtalen . gis tjenestefri lønn tilsvarende åtte dager pr. kalenderåret arbeidstakerefyller 62 . dagene arbeidstaker tjenestefri Hovedtariffavtalen, kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år.De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;
hva Føringer uttak tjenestefri ansatte 62?;Uttak tjenestefri lønn tas dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;
Hvordan retningslinjene tjenestefri ansatte 62 år?;Uttak tjenestefri lønn tas dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;
Hvordan fungerer uttak tjenestefri ansatte fylt 62 år?;Uttak tjenestefri lønn tas dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;
Hva kravene tjenestefri 62 år;Uttak tjenestefri lønn tas dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;
uttak tjenestefri ansatte 62 år?;Uttak tjenestefri lønn tas dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;
Hvilke føringer gjelder ansatte 62 angående tjenestefri?;Uttak tjenestefri lønn tas dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;
fastsatte fridager spesifikt ansatte 62 år?;Ansatt 62 ekstre tjenestefri lønn avtalen . Sentrale vedtatte kollektive tiltak Hovedtariffavtalen . gis tjenestefri lønn tilsvarende åtte dager pr. kalenderåret arbeidstakerefyller 62 . dagene arbeidstaker tjenestefri Hovedtariffavtalen, kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år. De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;
mulig overføre ubrukte feriedager kommende året?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen . Merk deg muligheten utbetalt lønn uavviklet ferie falt bort endring avferieloven pr. 1.7.2014. Les uavviklet ferie sykdom . Dersom overføre ferie ferieår, må du søke om dette innen 5. januar;https://dfo.no/kundesider/lonnstjenester/selvbetjeningsportalen
  Overføre brukte feriedager år?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen . Merk deg muligheten utbetalt lønn uavviklet ferie falt bort endring avferieloven pr. 1.7.2014. Les uavviklet ferie sykdom . Dersom overføre ferie ferieår, må du søke om dette innen 5. januar;https://dfo.no/kundesider/lonnstjenester/selvbetjeningsportalen
ansatte beholde gjenværende feriedager overføre år?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen . Merk deg muligheten utbetalt lønn uavviklet ferie falt bort endring avferieloven pr. 1.7.2014. Les uavviklet ferie sykdom . Dersom overføre ferie ferieår, må du søke om dette innen 5. januar;https://dfo.no/kundesider/lonnstjenester/selvbetjeningsportalen
Muligheten overføre feriedager år?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen . Merk deg muligheten utbetalt lønn uavviklet ferie falt bort endring avferieloven pr. 1.7.2014. Les uavviklet ferie sykdom . Dersom overføre ferie ferieår, må du søke om dette innen 5. januar;https://dfo.no/kundesider/lonnstjenester/selvbetjeningsportalen
Hvilken prosess ansatte følge be overføring feriedager år?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen . Merk deg muligheten utbetalt lønn uavviklet ferie falt bort endring avferieloven pr. 1.7.2014. Les uavviklet ferie sykdom . Dersom overføre ferie ferieår, må du søke om dette innen 5. januar;https://dfo.no/kundesider/lonnstjenester/selvbetjeningsportalen
hva medarbeidere fjernledes?;Planlegge styre egen arbeidsdag oppgaver gjennomføres . Vedlikeholde tilegne nødvendig kompetanse . Dele kunnskap avdelingen søke hjelp hos kollegaer uklart / behov andres kunnskap innspill . tett dialog avdelingen relevante forhold . Bidra arbeidsmiljø lokalt avdelingen daglige ellers delta faglige sosiale arrangementer . ;
Fjernledelse;Husbanken valgt modell fjernledelse hovedsak innebærer medarbeidere rapporterer faglig personalmessig . betyr følger medarbeiderne faglig, har det fulle personalansvaret og budsjettansvaret. Dvs. det samme ansvaret som alle personalledere i Husbanken har.;
"hva kravene Medarbeidere fjernledes?;""Planlegge styre egen arbeidsdag oppgaver gjennomføres . Vedlikeholde tilegne nødvendig kompetanse . Dele kunnskap avdelingen søke hjelp hos kollegaer"
"uklart / behov andres kunnskap innspill . tett dialog avdelingen relevante forhold . Bidra arbeidsmiljø lokalt avdelingen daglige ellers delta faglige sosiale arrangementer . "" ;"
Gaver;Du dokumentere utlegg gaver laste kopi kvittering . dubeskrive anledning mottaker . ;
Gave utlegg;Du dokumentere utlegg gaver laste kopi kvittering . dubeskrive anledning mottaker . ;
utlegg   gave;Du dokumentere utlegg gaver laste kopi kvittering . dubeskrive anledning mottaker . ;
"Hvordan melder fravær?;""Si lederen din borte jobben egen", barns eller barnepassers sykdom, skal du
sørge din nærmeste beskjed fraværet . antydning hvor lenge borte . Beskjeden gis per . telefon, SMS eller e-post.Vurder om du bør varsle andre som påvirkes av ditt fravær," for eksempel nære medarbeidere eller noen du skulle vært i møte med."";"
